Nr.			Ring Nr.		Geschlecht	Unterarmlänge [mm]		Käfig Nr.	
	Datum	Uhrzeit		Ringfarbe			gewicht g		Gesungheitszustand
1	5/28/22	10:33	131	blau	weiblich	38,23	10,13	22	
2	5/28/22	10:40	132	blau	weiblich	36,00	9,10	22	
3	5/28/22		133	blau	weiblich	35,92	9,79	22	juvenil
4	5/28/22		134	blau	weiblich	38,00	9,83	22	juvenil
5	5/28/22	10:51	135	blau	weiblich	36,63	9,82	21	juvenil
6	5/28/22	11:11	136	blau	weiblich	34,59	7,87	21	
7	5/28/22		137	blau	weiblich	35,30	8,77	21	
8	5/28/22		138	blau	weiblich	35,60	9,24	21	
9	5/28/22	11:30	139	blau	weiblich	38,02	9,54	21	juvenil
10	5/28/22	11:37	140	blau	weiblich	35,70	9,88	23	
11	5/28/22	11:39	141	blau	weiblich	36,60	9,73	23	(bissig!)
12	5/28/22	11:42	142	blau	weiblich	35,00	8,32	23	
13	5/28/22	11:46	143	blau	weiblich	36,1	9,87	23	
14	5/28/22	11:49	144	blau	weiblich	36,6	9,97	23	
15	5/28/22	11:51	145	blau	weiblich	37,2	10,86	24	
16	5/28/22	11:54	146	blau	weiblich	37,7	9,8	24	
17	5/28/22	11:57	147	blau	weiblich	35,6	10,22	24	
18	5/28/22	12:00	148	blau	weiblich	35,0	8,99	24	
19	5/28/22	12:03	149	blau	weiblich	34,7	8,93	24	
20	5/28/22	12:06	110	grün	männlich	34,9	8,83	25	Hoden klein
21	5/28/22	12:11	111	grün	männlich	36,3	9,51	25	hoden mittel
22	5/28/22	12:13	112	grün	männlich	34,3	9,64	25	Hoden mittel
23	5/28/22	12:15	113	grün	männlich	36,5	10,13	25	Hoden nicht sichtbar
24	5/28/22	12:18	114	grün	männlich	36,8	10,89	25	Hoden mittel
25	5/28/22	13:29	115	grün	männlich	37,3	9,96	26	Hoden  nicht sichtbar
26	5/28/22	13:32	116	grün	männlich	36,6	8,87	26	Hoden nicht sichtbar
27	5/28/22	13:35	117	grün	männclih	36,2	9,45	26	Hoden nicht sichtbar
28	5/28/22	13:41	118	grün	männlich	35,6	8,36	26	"Hoden nicht sichtbar; juvenil"
29	5/28/22	13:44	119	grün	männlich	34,1	8,99	26	Hoden groß
30	5/28/22	13:50	120	grün	männlich	35,6	10,13	27	Hoden klein
31	5/28/22	13:53	121	grün	männlich	35,6	10,37	27	Hoden mittelgroß
32	5/28/22	13:56	122	grün	männlich	34,8	9,68	27	Hoden groß
33	5/28/22	13:58	123	grün	männlich	36,8	9,62	27	Hoden groß
34	5/28/22	14:02	124	grün	männlich	37,000	8,61	27	Hoden nicht sichtbar, tot im Käfig am 29.05.2022, daten vom toten tier erhoben
35	5/28/22	14:04	125	grün	männlich	35,1	9,01	28	Hoden nicht sichtbar
36	5/28/22	14:09	126	grün	männlich	36,2	8,96	28	Hoden nicht sichtbar
37	5/28/22	14:11	127	grün	männlich	35,7	8,75	28	Hoden nicht sichtbar
38	5/28/22	14:13	128	grün	männlich	36,3	9,86	28	Hoden nicht sichtbar
39	5/28/22	14:16	129	grün	männlich	36,2	9,57	28	Hoden nicht sichtbar
